bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;728.9175186157227;0;0;0;1;1;0;100;1;1.1;0.9
2;1;1004.312995910645;0;0;0;1;1;0;100;1;1.1;0.9
3;1;687.7105941772461;0;0;0;1;1;0;100;1;1.1;0.9
4;1;1838.467262268066;0;0;0;1;1;0;100;1;1.1;0.9
5;1;946.3716354370117;0;0;0;1;1;0;100;1;1.1;0.9
6;1;648.5535659790039;0;0;0;1;1;0;100;1;1.1;0.9
7;1;778.5784301757812;0;0;0;1;1;0;100;1;1.1;0.9
8;1;942.6503372192383;0;0;0;1;1;0;100;1;1.1;0.9
9;1;525.3242568969727;0;0;0;1;1;0;100;1;1.1;0.9
10;1;765.4856719970703;0;0;0;1;1;0;100;1;1.1;0.9
11;1;794.4762115478516;0;0;0;1;1;0;100;1;1.1;0.9
12;1;1179.490745544434;0;0;0;1;1;0;100;1;1.1;0.9
13;1;938.5643005371094;0;0;0;1;1;0;100;1;1.1;0.9
14;1;1324.327331542969;0;0;0;1;1;0;100;1;1.1;0.9
15;1;715.0101776123047;0;0;0;1;1;0;100;1;1.1;0.9
16;1;1586.315040588379;0;0;0;1;1;0;100;1;1.1;0.9
17;1;467.8429641723633;0;0;0;1;1;0;100;1;1.1;0.9
18;1;532.2406616210938;0;0;0;1;1;0;100;1;1.1;0.9
19;1;1652.721488952637;0;0;0;1;1;0;100;1;1.1;0.9
20;1;927.6388473510742;0;0;0;1;1;0;100;1;1.1;0.9
