bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,c2,c1,c0
1,0,0,100,-100,1,1,1,33.0,0,0,46.81336859555876,287.0904678995175
1,0,0,100,-100,1,1,1,1003.4,0,0,14.02250240243433,2065.162233690987
2,0,0,100,-100,1,1,1,3363.9,0,0,47.03547239393638,287.0904678995175
3,0,0,100,-100,1,1,1,85.0,0,0,46.81295034207908,287.0904678995175
4,0,0,100,-100,1,1,1,487.977,0,0,46.81385330797094,287.0904678995175
5,0,0,100,-100,1,1,1,1448.7,0,0,82.4134789510812,287.0904678995175
6,0,0,100,-100,1,1,1,3467.27,0,0,46.81308675818369,287.0904678995175
7,0,0,100,-100,1,1,1,452.1,0,0,46.26824552661051,287.0904678995175
8,0,0,100,-100,1,1,1,2909.6,0,0,49.96226158738074,287.0904678995175
9,0,0,100,-100,1,1,1,2017.1,0,0,14.0234969546957,2065.162233690987
10,0,0,100,-100,1,1,1,128.0,0,0,46.81236194698715,287.0904678995175
11,0,0,100,-100,1,1,1,5579.734,0,0,66.02631010385545,287.0904678995175
12,0,0,100,-100,1,1,1,1507.48,0,0,46.813326809912,287.0904678995175
13,0,0,100,-100,1,1,1,1592.92,0,0,46.81321082566811,287.0904678995174
13,0,0,100,-100,1,1,1,3032.8,0,0,14.02295669331172,2065.162233690987
14,0,0,100,-100,1,1,1,12.68,0,0,46.81272893123323,287.0904678995175
14,0,0,100,-100,1,1,1,1063.9,0,0,14.02310521006622,2065.162233690987
15,0,0,100,-100,1,1,1,76.0,0,0,46.81348329118676,287.0904678995175
16,0,0,100,-100,1,1,1,3022.318,0,0,46.81387160333877,287.0904678995175
18,0,0,100,-100,1,1,1,95.765,0,0,46.81314153433013,287.0904678995175
19,0,0,100,-100,1,1,1,2665.8,0,0,46.81345931722109,287.0904678995174
20,0,0,100,-100,1,1,1,1343.0,0,0,46.8132925627603,287.0904678995175
