bus,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.090545,109.620930,149.455423,204.464787,253.285334,242.643120,193.374314,135.157917,30.314092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.127126,153.181686,214.249603,260.286934,298.642283,322.019091,302.344656,236.385551,98.177096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.019095,184.233103,234.705650,285.498672,319.827075,301.113513,239.914977,180.200508,68.205225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.627177,121.598320,180.986737,248.544710,296.745015,320.784616,269.251799,173.588598,49.143694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.343764,343.539342,445.025404,459.627811,432.482169,353.526255,265.574474,172.245979,29.360518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.574773,175.283402,292.871776,366.158187,393.766265,357.633171,271.730821,181.460708,50.995708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,95.692796,142.003073,152.018658,155.368837,134.103835,101.865281,75.184256,21.051973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.943470,73.937341,95.794097,105.088941,102.698037,100.377254,90.685520,87.311638,41.596576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.246133,74.177029,110.699231,167.387113,204.776617,207.795351,174.296243,130.132392,51.932314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.910196,237.056066,384.818405,467.255867,477.862342,414.432590,332.708432,226.465711,61.933142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.992892,158.022696,248.668288,289.625989,278.642972,246.808185,200.972653,133.278988,23.776615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.756723,42.063393,49.471075,56.301611,57.876037,50.469653,38.069404,11.242351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.091783,136.925779,197.744212,251.325703,264.430173,239.047746,187.734339,109.065048,12.282600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.262694,326.031263,455.483231,570.068765,607.607727,567.090463,451.875058,286.315563,65.250834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.148690,69.727398,101.405929,148.209355,166.654529,155.700153,109.622685,71.905131,9.926012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.219787,38.476321,43.690921,35.281741,33.579586,31.271603,24.273913,13.808262,3.304883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,185.725936,310.133349,361.790716,338.164987,267.105970,181.202200,133.992728,44.051972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.179192,87.650852,98.345398,116.678596,126.747083,138.170268,148.040938,134.313414,45.013463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.357912,12.285125,14.345603,18.143777,23.889596,23.894694,20.116886,13.692222,1.050062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.150112,33.031881,45.929624,46.953477,43.586745,37.189982,31.223321,14.235652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
